sentence_id,sentence_text,gold_tokens,pred_tokens,missing_tokens,extra_tokens,exact_match,token_accuracy
0001.train,"Üstünde lacivert abajurlu , parlak bir madenden lamba .","Üstünde lacivert abajurlu , parlak bir madenden lamba .","Üstünde lacivert abajurlu , parlak bir madenden lamba .",,,True,1.0
0002.train,Bursa abanisi .,Bursa abanisi .,Bursa abanisi .,,,True,1.0
0003.train,"Efendi , sen de ne üstüme abanıyorsun ?","Efendi , sen de ne üstüme abanıyorsun ?","Efendi , sen de ne üstüme abanıyorsun ?",,,True,1.0
0004.train,İki herif zavallıya abanıyorlar .,İki herif zavallıya abanıyorlar .,İki herif zavallıya abanıyorlar .,,,True,1.0
0005.train,Kul ile Tanrı'nın arasına girilmez .,Kul ile Tanrı'nın arasına girilmez .,Kul ile Tanrı'nın arasına girilmez .,,,True,1.0
0006.train,Varıp yaslanayım Hacı Bektaş'a / Abdalın olayım çullar içinde,Varıp yaslanayım Hacı Bektaş'a / Abdalın olayım çullar içinde,Varıp yaslanayım Hacı Bektaş'a / Abdalın olayım çullar içinde,,,True,1.0
0007.train,"Atatürk , Türk milletinin gönlünde anıtlaştı .","Atatürk , Türk milletinin gönlünde anıtlaştı .","Atatürk , Türk milletinin gönlünde anıtlaştı .",,,True,1.0
0008.train,Abraş at .,Abraş at .,Abraş at .,,,True,1.0
0009.train,İklim ile toprağın bereketi ve insanın faaliyeti arasında yakın bir münasebet vardır .,İklim ile toprağın bereketi ve insanın faaliyeti arasında yakın bir münasebet vardır .,İklim ile toprağın bereketi ve insanın faaliyeti arasında yakın bir münasebet vardır .,,,True,1.0
0010.train,"Olumlu , verimli bir işe adayacağı zamanını , abur cubur işlere harcamak ağırlarına gider .","Olumlu , verimli bir işe adayacağı zamanını , abur cubur işlere harcamak ağırlarına gider .","Olumlu , verimli bir işe adayacağı zamanını , abur cubur işlere harcamak ağırlarına gider .",,,True,1.0
0011.train,"Bunlar yarının kadın hakları savunucuları , acar avukatları olacak soydandırlar .","Bunlar yarının kadın hakları savunucuları , acar avukatları olacak soydandırlar .","Bunlar yarının kadın hakları savunucuları , acar avukatları olacak soydandırlar .",,,True,1.0
