sentence_id,sentence_text,pred_tokens
10,"Olumlu , verimli bir işe adayacağı zamanını , abur cubur işlere harcamak ağırlarına gider .","Olumlu , verimli bir işe adayacağı zamanını , abur_cubur işlere harcamak ağırlarına gider ."
12,"Acele , bir karar vermek ihtiyacındayım .","Acele , bir_karar vermek ihtiyacındayım ."
13,Bakın çantasında acep nesi var / Bir çift kundurayla bir de fesi var,Bakın çantasında acep nesi var / Bir_çift kundurayla bir_de fesi var
20,Yarını ne olacak dünyamızın / Biz yaşımızı başımızı aldık / Allah çocuklarımıza acısın,Yarını ne_olacak dünyamızın / Biz yaşımızı başımızı aldık / Allah çocuklarımıza acısın
22,Acı su sabunu köpürtmez .,Acı_su sabunu köpürtmez .
31,"Susuzluk korkusu , çölde , açık denizde , çorak bir dağ başında kapkara kızgın bir el gibi insanın gırtlağına sarılabilir .","Susuzluk korkusu , çölde , açık denizde , çorak bir dağ başında kapkara kızgın bir_el gibi insanın gırtlağına sarılabilir ."
34,O köprünün açıklığı da hemen hemen aynı açıklıkta bizim köprüyle .,O köprünün açıklığı da hemen_hemen aynı açıklıkta bizim köprüyle .
35,"Damalı bir eteklik , açık mavi kapalı bir yün kazak giymişti .","Damalı bir eteklik , açık_mavi kapalı bir yün kazak giymişti ."
36,Bu kadar açık sözlü oluşu beni şaşırtmıştı ama belli etmedim .,Bu_kadar açık_sözlü oluşu beni şaşırtmıştı ama belli etmedim .
38,Resmî açılış töreni ne zaman beyefendi ?,Resmî açılış_töreni ne_zaman beyefendi ?
44,Karla kapanan yolu açmak .,Karla kapanan yolu_açmak .
54,"Hem de ne adamcıldır , ne candır , bilseniz .","Hem_de ne adamcıldır , ne candır , bilseniz ."
55,"Yabanlık lacivert entarisi , baş örtüsü , çökük yanaklarıyla annesi kapıda bekliyordu .","Yabanlık lacivert entarisi , baş_örtüsü , çökük yanaklarıyla annesi kapıda bekliyordu ."
56,Ahmet Vefik Paşa'nın Zor Nikâh'ı Molière'den adaptedir .,Ahmet Vefik Paşa'nın Zor Nikâh'ı o l i è r e'den adaptedir .
58,Yedek subay aday adayları .,Yedek_subay aday adayları .
60,Paranın üstüne oturmak da biraz tatsız bir âdet olmuştu .,Paranın üstüne_oturmak da biraz tatsız bir âdet olmuştu .
61,Onu ya insana verilen özel adla ya da adın yerini tutan bir zamirle gösterir .,Onu ya insana verilen özel adla ya_da adın yerini tutan bir zamirle gösterir .
63,"Sonra redingot devri geldi ve redingot içinden yarı uşak , yarı kapı kulu , riyakâr , adi bir nesil türedi .","Sonra redingot devri geldi ve redingot içinden yarı uşak , yarı kapı_kulu , riyakâr , adi bir nesil türedi ."
73,Sonra köy ağası hazretleri bizim de kıçımıza atacak tekmeyi .,Sonra köy_ağası hazretleri bizim de kıçımıza atacak tekmeyi .
78,Bunların ağdalanır maç maç öterken sakızı .,Bunların ağdalanır maç_maç öterken sakızı .
79,Mekanizmanın ipi ya şu yana ya bu yana ağdıracak .,Mekanizmanın ipi ya şu yana ya bu_yana ağdıracak .
91,"Bir boşalmaya , ağız dolusu boşalmaya , soyundan başlayarak boşalmaya isteğim var ki boşalamazsam patlayacağım .","Bir boşalmaya , ağız_dolusu boşalmaya , soyundan başlayarak boşalmaya isteğim var ki boşalamazsam patlayacağım ."
99,"Terbiyeli , tedbirli , ağzı sıkı , aklı başında bir hizmetçi arıyorlar .","Terbiyeli , tedbirli , ağzı_sıkı , aklı_başında bir hizmetçi arıyorlar ."
104,Öyle ahım şahım bir tarafı yoktu vücudunun .,Öyle ahım_şahım bir tarafı yoktu vücudunun .
105,Bu yakınlarda onu hiç görmedim .,Bu_yakınlarda onu hiç görmedim .
109,Hangi semtin eczanesi bu kadar değerli insanı sinesinde toplayabilmiştir ?,Hangi semtin eczanesi bu_kadar değerli insanı sinesinde toplayabilmiştir ?
110,Genzinde de herhâlde ahtapot olacaktı ki boynunu uzatıp derin derin nefes alırdı .,Genzinde de herhâlde ahtapot olacaktı ki boynunu uzatıp derin_derin nefes alırdı .
114,"Tamam bak , ne diyorlardı kışkırtıcıya , ajitatör ; tamam bir iki ajitatör lazım bize .","Tamam bak , ne diyorlardı kışkırtıcıya , ajitatör ; tamam bir_iki ajitatör lazım bize ."
117,Güzel Sanatlar Akademisi .,Güzel_Sanatlar Akademisi .
118,"Akademik bir çalışmadan yanaydı , bu yüzden üniversiteye girdi .","Akademik bir çalışmadan yanaydı , bu_yüzden üniversiteye girdi ."
120,"Başladı , her ay , akaretlerinden kira toplar gibi tıkır tıkır faizleri toplamaya .","Başladı , her ay , akaretlerinden kira toplar gibi tıkır_tıkır faizleri toplamaya ."
125,"Gerçek dost ve akıl hocası odur ki , nefsini alçaltmış ve kendisine tabi kılmıştır .","Gerçek dost ve akıl_hocası odur ki , nefsini alçaltmış ve kendisine tabi kılmıştır ."
136,"Öfkeli insanlar , el ele , omuz omuza Taksim'e doğru akıyorlardı .","Öfkeli insanlar , el_ele , omuz_omuza Taksim'e doğru akıyorlardı ."
137,"Lütfü'ye akordeon çaldırıyorlar , lâmı cimi yok , çalacak .","Lütfü'ye akordeon çaldırıyorlar , lâmı_cimi_yok , çalacak ."
138,"Ak pak gerdanı , bileziklerle dolu kolları ile görürüz Fahriye ablayı .","Ak_pak gerdanı , bileziklerle dolu kolları ile görürüz Fahriye ablayı ."
147,Akşam yeli nedameti söyler .,Akşam_yeli nedameti söyler .
149,Beline akva adı verilen som sırmalı ve köstekli bir bıçak takan kızlar ağası .,Beline akva adı verilen som sırmalı ve köstekli bir bıçak takan kızlar_ağası .
156,Toplantı yeri .,Toplantı_yeri .
157,Yer çekimi alanı .,Yer_çekimi alanı .
