sentence_id,sentence_text,gold_tokens,pred_tokens,missing_tokens,extra_tokens,exact_match,token_accuracy
1,"Üstünde lacivert abajurlu , parlak bir madenden lamba .","Üstünde lacivert abajurlu , parlak bir madenden lamba .","Üstünde lacivert abajurlu , parlak bir madenden lamba .",,,True,1.0
2,Bursa abanisi .,Bursa abanisi .,Bursa abanisi .,,,True,1.0
3,"Efendi , sen de ne üstüme abanıyorsun ?","Efendi , sen de ne üstüme abanıyorsun ?","Efendi , sen de ne üstüme abanıyorsun ?",,,True,1.0
4,İki herif zavallıya abanıyorlar .,İki herif zavallıya abanıyorlar .,İki herif zavallıya abanıyorlar .,,,True,1.0
5,Kul ile Tanrı'nın arasına girilmez .,Kul ile Tanrı'nın arasına girilmez .,Kul ile Tanrı'nın arasına girilmez .,,,True,1.0
6,Varıp yaslanayım Hacı Bektaş'a / Abdalın olayım çullar içinde,Varıp yaslanayım Hacı Bektaş'a / Abdalın olayım çullar içinde,Varıp yaslanayım Hacı Bektaş'a / Abdalın olayım çullar içinde,,,True,1.0
7,"Atatürk , Türk milletinin gönlünde anıtlaştı .","Atatürk , Türk milletinin gönlünde anıtlaştı .","Atatürk , Türk milletinin gönlünde anıtlaştı .",,,True,1.0
8,Abraş at .,Abraş at .,Abraş at .,,,True,1.0
9,İklim ile toprağın bereketi ve insanın faaliyeti arasında yakın bir münasebet vardır .,İklim ile toprağın bereketi ve insanın faaliyeti arasında yakın bir münasebet vardır .,İklim ile toprağın bereketi ve insanın faaliyeti arasında yakın bir münasebet vardır .,,,True,1.0
10,"Olumlu , verimli bir işe adayacağı zamanını , abur cubur işlere harcamak ağırlarına gider .","Olumlu , verimli bir işe adayacağı zamanını , abur cubur işlere harcamak ağırlarına gider .","Olumlu , verimli bir işe adayacağı zamanını , abur cubur işlere harcamak ağırlarına gider .",,,True,1.0
11,"Bunlar yarının kadın hakları savunucuları , acar avukatları olacak soydandırlar .","Bunlar yarının kadın hakları savunucuları , acar avukatları olacak soydandırlar .","Bunlar yarının kadın hakları savunucuları , acar avukatları olacak soydandırlar .",,,True,1.0
12,"Acele , bir karar vermek ihtiyacındayım .","Acele , bir karar vermek ihtiyacındayım .","Acele , bir karar vermek ihtiyacındayım .",,,True,1.0
13,Bakın çantasında acep nesi var / Bir çift kundurayla bir de fesi var,Bakın çantasında acep nesi var / Bir çift kundurayla bir de fesi var,Bakın çantasında acep nesi var / Bir çift kundurayla bir de fesi var,,,True,1.0
14,Acı poyraz kuvvetle esiyordu .,Acı poyraz kuvvetle esiyordu .,Acı poyraz kuvvetle esiyordu .,,,True,1.0
15,Acıca bir yemek .,Acıca bir yemek .,Acıca bir yemek .,,,True,1.0
16,Kendimi bu acı ve acıklı kitlenin bir parçası gibi hissediyordum .,Kendimi bu acı ve acıklı kitlenin bir parçası gibi hissediyordum .,Kendimi bu acı ve acıklı kitlenin bir parçası gibi hissediyordum .,,,True,1.0
17,Ağzım acılandı .,Ağzım acılandı .,Ağzım acılandı .,,,True,1.0
18,Acılı tarhana .,Acılı tarhana .,Acılı tarhana .,,,True,1.0
19,"Nasıl acıdı elim , sopa elimden düştü .","Nasıl acıdı elim , sopa elimden düştü .","Nasıl acıdı elim , sopa elimden düştü .",,,True,1.0
20,Yarını ne olacak dünyamızın / Biz yaşımızı başımızı aldık / Allah çocuklarımıza acısın,Yarını ne olacak dünyamızın / Biz yaşımızı başımızı aldık / Allah çocuklarımıza acısın,Yarını ne olacak dünyamızın / Biz yaşımızı başımızı aldık / Allah çocuklarımıza acısın,,,True,1.0
21,"Ata Efendi , depoya yığılı kerestelerin reçine kokusundan hazzettiğini anladı .","Ata Efendi , depoya yığılı kerestelerin reçine kokusundan hazzettiğini anladı .","Ata Efendi , depoya yığılı kerestelerin reçine kokusundan hazzettiğini anladı .",,,True,1.0
22,Acı su sabunu köpürtmez .,Acı su sabunu köpürtmez .,Acı su sabunu köpürtmez .,,,True,1.0
23,Borçlarını ödeyemeyen şirketin aciz halinde olduğu ilan edildi,Borçlarını ödeyemeyen şirketin aciz halinde olduğu ilan edildi,Borçlarını ödeyemeyen şirketin aciz halinde olduğu ilan edildi,,,True,1.0
24,Mahallede acubelerin diline düşmekten korkuyorum .,Mahallede acubelerin diline düşmekten korkuyorum .,Mahallede acubelerin diline düşmekten korkuyorum .,,,True,1.0
25,Geç vakit dönen zengin ve ecnebi kumarcıların acul arabalarını duymuyor .,Geç vakit dönen zengin ve ecnebi kumarcıların acul arabalarını duymuyor .,Geç vakit dönen zengin ve ecnebi kumarcıların acul arabalarını duymuyor .,,,True,1.0
26,Salçanın tenekesini açacakla zor açtım .,Salçanın tenekesini açacakla zor açtım .,Salçanın tenekesini açacakla zor açtım .,,,True,1.0
27,"Yolcuların hepsi indikten sonra Mehmet Akif göründü , beni açık başıyla selamladı .","Yolcuların hepsi indikten sonra Mehmet Akif göründü , beni açık başıyla selamladı .","Yolcuların hepsi indikten sonra Mehmet Akif göründü , beni açık başıyla selamladı .",,,True,1.0
28,Açık konuşma zamanının artık geldiğine kani idim .,Açık konuşma zamanının artık geldiğine kani idim .,Açık konuşma zamanının artık geldiğine kani idim .,,,True,1.0
29,"Limanda bilinen gemiler , oysa açıklardadır .","Limanda bilinen gemiler , oysa açıklardadır .","Limanda bilinen gemiler , oysa açıklardadır .",,,True,1.0
