sentence,gold_mwe,pred_mwe
"olumlu , verimli bir işe adayacağı zamanını , abur cubur işlere harcamak ağırlarına gider .",abur cubur,abur_cubur
"acele , bir karar vermek ihtiyacındayım .",bir karar,bir_karar
bakın çantasında acep nesi var / bir çift kundurayla bir de fesi var,bir çift,bir_çift
yarını ne olacak dünyamızın / biz yaşımızı başımızı aldık / allah çocuklarımıza acısın,ne olacak,ne_olacak
acı su sabunu köpürtmez .,acı su,acı_su
o köprünün açıklığı da hemen hemen aynı açıklıkta bizim köprüyle .,hemen hemen,hemen_hemen
"damalı bir eteklik , açık mavi kapalı bir yün kazak giymişti .",açık mavi,açık_mavi
bu kadar açık sözlü oluşu beni şaşırtmıştı ama belli etmedim .,bu kadar,bu_kadar
bu kadar açık sözlü oluşu beni şaşırtmıştı ama belli etmedim .,açık sözlü,açık_sözlü
resmî açılış töreni ne zaman beyefendi ?,açılış töreni,açılış_töreni
karla kapanan yolu açmak .,yolu açmak,yolu_açmak
"hem de ne adamcıldır , ne candır , bilseniz .",hem de,hem_de
"yabanlık lacivert entarisi , baş örtüsü , çökük yanaklarıyla annesi kapıda bekliyordu .",baş örtüsü,baş_örtüsü
yedek subay aday adayları .,yedek subay,yedek_subay
paranın üstüne oturmak da biraz tatsız bir âdet olmuştu .,üstüne oturmak,üstüne_oturmak
"sonra redingot devri geldi ve redingot içinden yarı uşak , yarı kapı kulu , riyakâr , adi bir nesil türedi .",kapı kulu,kapı_kulu
sonra köy ağası hazretleri bizim de kıçımıza atacak tekmeyi .,köy ağası,köy_ağası
bunların ağdalanır maç maç öterken sakızı .,maç maç,maç_maç
mekanizmanın ipi ya şu yana ya bu yana ağdıracak .,bu yana,bu_yana
"bir boşalmaya , ağız dolusu boşalmaya , soyundan başlayarak boşalmaya isteğim var ki boşalamazsam patlayacağım .",ağız dolusu,ağız_dolusu
"terbiyeli , tedbirli , ağzı sıkı , aklı başında bir hizmetçi arıyorlar .",ağzı sıkı,ağzı_sıkı
"terbiyeli , tedbirli , ağzı sıkı , aklı başında bir hizmetçi arıyorlar .",aklı başında,aklı_başında
öyle ahım şahım bir tarafı yoktu vücudunun .,ahım şahım,ahım_şahım
hangi semtin eczanesi bu kadar değerli insanı sinesinde toplayabilmiştir ?,bu kadar,bu_kadar
genzinde de herhâlde ahtapot olacaktı ki boynunu uzatıp derin derin nefes alırdı .,derin derin,derin_derin
"tamam bak , ne diyorlardı kışkırtıcıya , ajitatör ; tamam bir iki ajitatör lazım bize .",bir iki,bir_iki
güzel sanatlar akademisi .,güzel sanatlar,güzel_sanatlar
"akademik bir çalışmadan yanaydı , bu yüzden üniversiteye girdi .",bu yüzden,bu_yüzden
"başladı , her ay , akaretlerinden kira toplar gibi tıkır tıkır faizleri toplamaya .",tıkır tıkır,tıkır_tıkır
"gerçek dost ve akıl hocası odur ki , nefsini alçaltmış ve kendisine tabi kılmıştır .",akıl hocası,akıl_hocası
"öfkeli insanlar , el ele , omuz omuza taksim'e doğru akıyorlardı .",omuz omuza,omuz_omuza
"lütfü'ye akordeon çaldırıyorlar , lâmı cimi yok , çalacak .",lâmı cimi yok,lâmı_cimi_yok
"ak pak gerdanı , bileziklerle dolu kolları ile görürüz fahriye ablayı .",ak pak,ak_pak
akşam yeli nedameti söyler .,akşam yeli,akşam_yeli
beline akva adı verilen som sırmalı ve köstekli bir bıçak takan kızlar ağası .,kızlar ağası,kızlar_ağası
toplantı yeri .,toplantı yeri,toplantı_yeri
şimdi bunları bırak da bir defa alelusul kardeşine söyle .,bir defa,bir_defa
bileğimde keman gibi altın bilezik var .,keman gibi,keman_gibi
bileğimde keman gibi altın bilezik var .,altın bilezik,altın_bilezik
biraz sonra bir besleme kız kocaman bir alüminyum ibriği getirdi .,besleme kız,besleme_kız
"aman , bir daha yapmam !",bir daha,bir_daha
enkazın kalkması üç dört günlük ameliyata muhtaç .,üç dört,üç_dört
karşımdaki duvara takılmış iki ampulden biri sönüktü ve bir gözü kırpılmış bir insan gibi bana bakıyordu .,insan gibi,insan_gibi
bu iki hikâyecik üzerinde zerre kadar edebî münakaşalara girişmemişlerdi .,zerre kadar,zerre_kadar
fakat bütün memleketin ağzında çalkalanan bu evlerin anha minha 50 liradan fazlaya çıkmayacağı .,anha minha,anha_minha
"uçsuz bucaksız uzayan kır / kimi yerde nadas , kimi anız",uçsuz bucaksız,uçsuz_bucaksız
"dil dökmek , ağız yoklamak .",dil dökmek,dil_dökmek
"dil dökmek , ağız yoklamak .",ağız yoklamak,ağız_yoklamak
ham vücutla ancak bu kadar koşabilirim .,bu kadar,bu_kadar
"apartmandaki dairelerin ışıkları kapalı , herkes mışıl mışıl uyuyor olmalı .",mışıl mışıl,mışıl_mışıl
bir kere düştün mü ne arayan olur ne soran !,bir kere,bir_kere
bu elifbada türk'ün tek bir harfi yoktur .,tek bir,tek_bir
"belediye çavuşu çarşıyı ve arastaları dolaşmış , esnafa kepenk kapattırmıştır .",belediye çavuşu,belediye_çavuşu
çocuk ardın ardın giderken kuyuya düştü .,ardın ardın,ardın_ardın
"efendiler , bizim çehremiz her zaman temiz ve paktı ve daima temiz ve pak kalacaktır .",her zaman,her_zaman
"1,3,5,7,9. dizisi aritmetik bir dizi olup ortak çarpan denilen değişmez oranı 2 sayısıdır .",ortak çarpan,ortak_çarpan
"armutların en fenası , en kavruk , en lekeli ve en hamı bile asildir .",en fenası,en_fenası
art damak ünsüzü .,art damak ünsüzü,art_damak_ünsüzü
"eskiden uzun seneler askerî rüştiyelerde hocalık etmiş olan bu adam , kim bilir ne kadar çocuğun canını yakmıştı .",kim bilir,kim_bilir
böyle muazzam bir prodüksiyonun ne kadar astronomik finansmana dayandığını siz tahmin edin artık .,ne kadar,ne_kadar
cephesi kireçle badanalanmış kapı pencere çerçeveleri koyu mavi aşı boyalı küçük bir köfteci dükkânına girdiler .,aşı boyalı,aşı_boyalı
cephesi kireçle badanalanmış kapı pencere çerçeveleri koyu mavi aşı boyalı küçük bir köfteci dükkânına girdiler .,koyu mavi,koyu_mavi
talihin aşırısı da insanı eninde sonunda aptallaştırdığından sonuç aynı kapıya çıkardı .,eninde sonunda,eninde_sonunda
cemiyetin çaldıklarına nazaran adi sokak hırsızlarının aşırıntıları adam sen de denecek bir hafiflikte kalırdı .,adam sen de,adam_sen_de
tek bir yudum bile almıyordu bardağından ama zaten yeterince içtiği aşikârdı .,tek bir,tek_bir
biçilmiş kaftan galiba bana ateşten gömlek olacak .,biçilmiş kaftan,biçilmiş_kaftan
biçilmiş kaftan galiba bana ateşten gömlek olacak .,ateşten gömlek,ateşten_gömlek
burası o kadar ayakaltı idi ki değme polis hafiyesinin aklına gelmezdi .,o kadar,o_kadar
oysa bir türlü yerleşemediğim gibi sanki her an yeniden ayaklanacakmış gibi yaşıyorum .,bir türlü,bir_türlü
"soldan dört ayak üzerinde , yalın ayak , başı kabak bir adam görülür .",yalın ayak,yalın_ayak
"soldan dört ayak üzerinde , yalın ayak , başı kabak bir adam görülür .",dört ayak,dört_ayak
saatin ayarı bozuk .,ayarı bozuk,ayarı_bozuk
"fani bir iz bırakmış burda yatmışsa kimler / aygın baygın mâniler , açık saçık resimler",aygın baygın,aygın_baygın
"fani bir iz bırakmış burda yatmışsa kimler / aygın baygın mâniler , açık saçık resimler",açık saçık,açık_saçık
sindirim aygıtı .,sindirim aygıtı,sindirim_aygıtı
üzerlerinde kırmızı aylı beyaz bayrakların sallandığı geniş çadırların önünde öteye beriye gidip gelen doktorlar dolaşıyor .,öteye beriye,öteye_beriye
"yaramazlığı bir yana , çocukları da azdırdığı için temiz bir dayak yemiş olmalı .",bir yana,bir_yana
"senin gibi azgın bir delikanlıya vereceğim ilk ders , doyurabildiğin kadının sana vereceği tadın ne kadar önemli olduğudur .",ne kadar,ne_kadar
zamanımızın fransız romancıları da bir hayli işi azıtmış durumdadırlar .,bir hayli,bir_hayli
en azından yirmi beş yıl daha yaşamaya azmettim .,en azından,en_azından
"bu kardeşçe , babaca muameleleri karşısında , artık böyle bir hisse kapılmanın ne kadar yersiz olduğunu anlamaya başlamıştım .",ne kadar,ne_kadar
bu adla bizim kayınbabadan bir hayli para dolandırmışlar .,bir hayli,bir_hayli
tam o sırada içeri habeş bir bacı girdi .,o sırada,o_sırada
"o daha ayakları çıplak küçük bir kızken , geceleri beyaz badanalı kuyunun kenarına yan yana otururduk .",yan yana,yan_yana
badem bıyık hafifçe sola kayıyor .,badem bıyık,badem_bıyık
nasıl oldu da deminki badireden sağ salim kurtulabildi ?,sağ salim,sağ_salim
bağ bozumu zamanı ceviz çırpmaya giderlerdi .,bağ bozumu,bağ_bozumu
burada da her bahsin sonunda yazdığı gibi uzun uzadıya incelemelerde bulunuyor .,uzun uzadıya,uzun_uzadıya
bu konuyu nasıl buraya bağladığını bir türlü anlamıyorum .,bir türlü,bir_türlü
"hazır bulunanların hepsi tatlı dil , güler yüz taraftarlığında ittifak etmiş gibiydiler .",güler yüz,güler_yüz
"hazır bulunanların hepsi tatlı dil , güler yüz taraftarlığında ittifak etmiş gibiydiler .",tatlı dil,tatlı_dil
nice kahramanlar nice sultanlar / gelmiş gitmiş bağrı yanık ozanlar,bağrı yanık,bağrı_yanık
"bir bahar bayramının ikinci , üçüncü günleri , abla kardeş kokusunu kim bilir kaçıncı defa alıyordu .",kim bilir,kim_bilir
çalıştık bahçıvanla sabah akşam baş başa / bu üç gülü büyüttük üç yiğit arkadaşa,sabah akşam,sabah_akşam
çalıştık bahçıvanla sabah akşam baş başa / bu üç gülü büyüttük üç yiğit arkadaşa,baş başa,baş_başa
her zaman bahçıvanlıkla uğraşan bir ihtiyar adam .,her zaman,her_zaman
geçenlerde bir iş adamı bakarada yüz bin liraya yakın para kaybetti .,iş adamı,iş_adamı
"gittikçe kırmızıya çalan bir güneş , her şeyin üzerine , tepeden tırnağa bakırımsı bir yaldız döküyor .",tepeden tırnağa,tepeden_tırnağa
"ev halkı birbirlerine bakışıyorlar , söyleyecek söz bulamıyorlar .",ev halkı,ev_halkı
"bakkallar , sebzeciler eline bir iki şey tutuştururlardı .",bir iki,bir_iki
"başkasını seçselerdi , o kaptan , ben de seve seve dalgıç ya da hava verici makineci olurdum .",ya da,ya_da
günün birinde kimsenin yapmadığı bir şeyi yaptı ve bam telinden sakal bıraktı .,günün birinde,günün_birinde
ağlasın milletin evladı da bangır bangır .,bangır bangır,bangır_bangır
sonra geniş bir odada orta yaşlı bankacı kendisine yüz vermeyen yargıcın kızına saldırdı .,orta yaşlı,orta_yaşlı
"kalkıp cevabını veriyor ; bilirse ne âlâ , beş bin kâğıdı cepledi demektir .",ne âlâ,ne_âlâ
güneş banyosu .,güneş banyosu,güneş_banyosu
"banyosuz , duşlu , avuç içi gibi bir aralıktı hamam .",avuç içi,avuç_içi
top ileri geri her havalandıkça bar bar bağırıyorlardı .,ileri geri,ileri_geri
top ileri geri her havalandıkça bar bar bağırıyorlardı .,bar bar,bar_bar
"girip çıktığı mesleklerin hiçbirinde üç dört , hadi bilemediniz , altı aydan fazla barınamadı .",üç dört,üç_dört
"masaları , sıraları üst üste yığıp barikat yapmışlar .",üst üste,üst_üste
"ortalığı saran barut rengi aydınlık açıldı , açıldı , kül rengine döndü .",barut rengi,barut_rengi
"koşarak basamaklara yürüdü , merdivenleri bir solukta çıktı .",bir solukta,bir_solukta
"dünyanın masrafını yapmış , araba araba toprak , gübre taşıtmıştır .",araba araba,araba_araba
"ama bir evi tek başına çeviren , o evin düzeninden sorumlu kadınlar ansızın bastıran konuktan her zaman tedirgin olurlar .",her zaman,her_zaman
"ama bir evi tek başına çeviren , o evin düzeninden sorumlu kadınlar ansızın bastıran konuktan her zaman tedirgin olurlar .",tek başına,tek_başına
başa güreşmek .,başa güreşmek,başa_güreşmek
gözlerini açar açmaz bu baş döndürücü süratten başka bir şey hissetmedi .,baş döndürücü,baş_döndürücü
"soldan dört ayak üzerinde , yalınayak , başı kabak bir adam görülür .",dört ayak,dört_ayak
