sentence_text,gold_merged_tokens
"edebiyat tarihindeyse onun adına hiçbir türlü rastlayamazsınız .",edebiyat_tarihindeyse onun adına hiçbir türlü rastlayamazsınız .
"bir yandan ayrıntılara eğilirken , bir yandan da bunları alaylı bir süzgeçten geçirir .","bir_yandan ayrıntılara eğilirken , bir_yandan da bunları alaylı bir süzgeçten geçirir ."
"senin gibi ekâbir bir adam bu tür haberlerin peşinde koşturmaz .","senin gibi ekâbir bir adam bu tür haberlerin peşinde koşturmaz ."
"en sevdiği ve şifalı saydığı meyve de ekşi elmaydı .","en sevdiği ve şifalı saydığı meyve de ekşi_elmaydı ."
"yeni tiyatro binası projesini el birliğiyle şimdilik bir tarafa bıraktırdık .","yeni tiyatro binası projesini el_birliğiyle şimdilik bir tarafa bıraktırdık ."
"bir ilk mektepte , emeklilik çağına kadar hocalık etti .","bir ilk mektepte , emeklilik_çağına kadar hocalık etti ."
"bir gün yengem emir eriyle bir tencere yemek gönderdi .","bir gün yengem emir_eriyle bir tencere yemek gönderdi ."
"hastalıktan ötürü engelliler bir yana , hep susan bir insan tasarlamaya yetmiyor hayal gücüm .","hastalıktan ötürü engelliler bir_yana , hep susan bir insan tasarlamaya yetmiyor hayal_gücüm ."
"sonra ense köküme , benim ense köküme kılıç bir iniverecek .","sonra ense_köküme , benim ense_köküme kılıç bir iniverecek ."
"o günkü birdirbirler , köşe kapmacalar , esir almacalar çocukça olmakla beraber herhâlde daha erkekçeydi .","o günkü birdirbirler , köşe_kapmacalar , esir almacalar çocukça olmakla beraber herhâlde daha erkekçeydi ."
"ali kediyi çok sever cümlesindeki sever fiili etken fiildir .","ali kediyi çok sever cümlesindeki sever fiili etken_fiildir ."
"bunları kimi kez öteki türlerden özellikle toplumsal ve evcil dramlardan ayırmak kolay değildir .","bunları kimi kez öteki türlerden özellikle toplumsal ve evcil dramlardan ayırmak kolay_değildir ."
"bu salih araboğlu , tefecilikten , çalıp çırpmaktan para yapmış , uğursuz heriflerden biridir .","bu salih araboğlu , tefecilikten , çalıp_çırpmaktan para yapmış , uğursuz heriflerden biridir ."
"seni fakir , soluk bir dekor içinde görmek istemem .","seni fakir , soluk bir dekor içinde görmek istemem ."
"fasulye pilakileri , piyazlar , köfteler , salçalı makarnalar , menemenler , patlıcan kızartmaları , neler de neler pişmedi .","fasulye pilakileri , piyazlar , köfteler , salçalı_makarnalar , menemenler , patlıcan kızartmaları , neler de neler pişmedi ."
"az ilerideki burunda bütün heybetiyle bir deniz feneri görünüyordu .","az ilerideki burunda bütün heybetiyle bir deniz feneri görünüyordu ."
"i̇nsan tehlike karşısında ancak ana diliyle feryat edebiliyor .","i̇nsan tehlike karşısında ancak ana_diliyle feryat edebiliyor ."
"i̇nsan tehlike karşısında ancak ana diliyle feryat edebiliyor .","i̇nsan tehlike karşısında ancak ana_diliyle feryat edebiliyor ."
"ölümsüzlerden fışkıran ışık , karanlıkları bir anda dağıttı .","ölümsüzlerden fışkıran ışık , karanlıkları bir_anda dağıttı ."
"her zamanki şakacılığı ve filozofça sözleri ile evin içindeki bu gergin havayı yatıştırmasını çok iyi becerirdi .","her_zamanki şakacılığı ve filozofça sözleri ile evin içindeki bu gergin havayı yatıştırmasını çok iyi becerirdi ."
"gülistan ne kadar şık , belinde fiyonk olan eflatun bir elbise giymiş .","gülistan ne kadar şık , belinde fiyonk olan eflatun bir elbise giymiş ."
