sentence,gold_mwe
"acele , bir karar vermek ihtiyacındayım .",karar vermek
kendimi bu acı ve acıklı kitlenin bir parçası gibi hissediyordum .,bir parça
yarını ne olacak dünyamızın / biz yaşımızı başımızı aldık / allah çocuklarımıza acısın,ne o
"susuzluk korkusu , çölde , açık denizde , çorak bir dağ başında kapkara kızgın bir el gibi insanın gırtlağına sarılabilir .",açık deniz
"susuzluk korkusu , çölde , açık denizde , çorak bir dağ başında kapkara kızgın bir el gibi insanın gırtlağına sarılabilir .",dağ başı
"hasan şaş , bir soru üzerine , güney kore'de futbol oynamayı düşünmediğini açıkladı .",güney kore
su borusunu açmak .,su borusu
adaşlık maceraları yalnız bu kadarla bitmez .,bu kadar
paranın üstüne oturmak da biraz tatsız bir âdet olmuştu .,paranın üstü
onu ya insana verilen özel adla ya da adın yerini tutan bir zamirle gösterir .,özel ad
"niyazi zayıftı , çocukluğunda ağır hastalıklar geçirmişti .",ağır hastalık
şu kara bahtıma ağlıyorum .,kara baht
bütün mahalle halkı aile hayatını kontrol ederdi .,aile hayatı
akça kızlar sökün etti yurdundan / koç yiğitler deli oldu derdinden,koç yiğit
pencap vadilerine yerleşen akıncılar ana yurtlarını unutuverdiler .,ana yurt
i̇ngilizce ile fransızca akraba dillerdendir .,akraba diller
bir akşamüzeri her zamanki hızlı adımlarla geldi .,her zaman
şimdi bunları bırak da bir defa alelusul kardeşine söyle .,bir de
kitaplarının çoğu edebiyat tarihine girmiş olan âlimane eserlerdir .,edebiyat tarihi
yufka yüreklilerle çetin yollar aşılmaz .,yufka yürekli
i̇nanmam ama fırsat bulursam baktırmadan da yapamam .,fırsat bu
"amaç , şüphe götürmeyecek ilk kesin bilgiye varmaktı .",kesin bilgi
hepsinde ameliyat masasında bayıltılmamış bir hasta yüzü vardır .,ameliyat masası
bunları görüşüp amme efkârına ve kendimize aydınlık getirelim .,amme efkârı
karşımdaki duvara takılmış iki ampulden biri sönüktü ve bir gözü kırpılmış bir insan gibi bana bakıyordu .,bana bak
"okul , önden ve arkadan şehrin iki ana caddesine açılıyordu .",ana cadde
vazifelerini bir angarya gibi yaparlar .,bir an
"göl adı olan terkos'un , musluk suyu anlamında kullanılması anlam değişmesine bir örnektir .",bir örnek
i̇yi seçmeyi bilen bir antikacı .,bir an
bir arabalık odun .,bir ara
bir arabalık odun .,bir araba
"i̇nsan , köpek tenyasının ve sıtma asalağının ara konakçısıdır .",ara konakçı
ordu arızalı fakat kısa bir yoldan yürüyüşe tekrar başladı .,bir yol
art damak ünsüzü .,damak ünsüzü
art damak ünsüzü .,art damak
bir arz odasında biz kullarına görünmek acaba yüce gönlüne uygun düşer mi ?,arz odası
bugün son kuraklığın on ikinci yılıdır / hakanın baş ucunda bir kılıç asılıdır,baş ucu
"eskiden uzun seneler askerî rüştiyelerde hocalık etmiş olan bu adam , kim bilir ne kadar çocuğun canını yakmıştı .",askerî rüştiye
"ben inek için oymalarımı bıraktım , dikiş makinesini tamir etmedim , mektebi astım .",dikiş makinesi
i̇çindeki aşağılık kompleksinin fitilini tutuşturabilirim tipimle .,aşağılık kompleksi
fabrikanın atık suları arıtıldıktan sonra denize bırakıldı .,atık su
"kadınlar çocuklarını bayram yerinde bir salıncağa , bir atlıkarıncaya bindirmişlerdi .",bayram yeri
burası o kadar ayakaltı idi ki değme polis hafiyesinin aklına gelmezdi .,polis hafiyesi
"makasçı , ayaküstü bana gayet basit kelimelerle bir dram anlattı .",basit kelime
"burası ankara'ya iki günöte , ana yollardan aykırı küçük bir kasabaydı .",ana yol
bir formalık ayrı basımlar eser diye gösterilmezse korkarım pek çoğumuzun eser listeleri hayli fakir kalırdı .,ayrı basım
"apış arasına fazla tülbent ve mermerşahi tıkarak bebeği çarpık ve ayrık bacaklı , tenasüpsüz olmaktan korur .",apış arası
"senin gibi azgın bir delikanlıya vereceğim ilk ders , doyurabildiğin kadının sana vereceği tadın ne kadar önemli olduğudur .",bir de
"padişah bakmış , babayani , hırpani bir derviş .",bir de
"o daha ayakları çıplak küçük bir kızken , geceleri beyaz badanalı kuyunun kenarına yan yana otururduk .",yan yan
"annem , bulaşıkları yıkamaya çalışıyor , kız kardeşim onları kurulamakla meşgul .",kız kardeş
"güvertede bir koşuşma , denizde bir bağrışma oldu .",bir koşu
"bir bahar bayramının ikinci , üçüncü günleri , abla kardeş kokusunu kim bilir kaçıncı defa alıyordu .",bahar bayramı
çalıştık bahçıvanla sabah akşam baş başa / bu üç gülü büyüttük üç yiğit arkadaşa,baş baş
nizamlı bir hareketler sisteminin ne olduğunu anlamak için bir baleyi seyretmelisiniz .,ne o
"eşyalarımı , ilk posta ile bir denk yapıp i̇stanbul'a gönderdim .",bir de
günün birinde kimsenin yapmadığı bir şeyi yaptı ve bam telinden sakal bıraktı .,bam teli
